priority,symbol,identifier,series,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,totalTradedVolume,totalTradedValue,yearHigh,yearLow,nearWKH,nearWKL,perChange365d,date365dAgo,perChange30d,date30dAgo,chart365dPath,chart30dPath,chartTodayPath
0,TVSMOTOR,TVSMOTOREQN,EQ,2678.95,2753.8,2651.1,2718,2679.25,38.75,1.45,570397,1549837096.6399999,2958,1548.5,8.113590263691684,-75.5247013238618,69.84,19-Oct-2023,-2.47,18-Sep-2024,https://nsearchives.nseindia.com/365d/TVSMOTOR-EQ.svg,https://nsearchives.nseindia.com/30d/TVSMOTOR-EQ.svg,https://nsearchives.nseindia.com/today/TVSMOTOREQN.svg
0,OBEROIRLTY,OBEROIRLTYEQN,EQ,1909.95,1942,1884.25,1930.95,1903.7,27.25,1.43,1334918,2548171573.48,2065.2,1051.1,6.500581057524685,-83.70754447721437,71.74,19-Oct-2023,6.81,18-Sep-2024,https://nsearchives.nseindia.com/365d/OBEROIRLTY-EQ.svg,https://nsearchives.nseindia.com/30d/OBEROIRLTY-EQ.svg,https://nsearchives.nseindia.com/today/OBEROIRLTYEQN.svg
0,PRICOLLTD,PRICOLLTDEQN,EQ,459.95,474,455.15,468.25,461.65,6.6,1.43,187426,87370504.16000001,542.5,310.9,13.68663594470046,-50.611128980379554,33.41,19-Oct-2023,-4.29,18-Sep-2024,https://nsearchives.nseindia.com/365d/PRICOLLTD-EQ.svg,https://nsearchives.nseindia.com/30d/PRICOLLTD-EQ.svg,https://nsearchives.nseindia.com/today/PRICOLLTDEQN.svg
0,LANDMARK,LANDMARKEQN,EQ,646.05,656.5,639.05,656.05,646.85,9.2,1.42,37982,24576632.919999998,905,541.2,27.508287292817684,-21.221359940872116,-13.72,19-Oct-2023,7.07,18-Sep-2024,https://nsearchives.nseindia.com/365d/LANDMARK-EQ.svg,https://nsearchives.nseindia.com/30d/LANDMARK-EQ.svg,https://nsearchives.nseindia.com/today/LANDMARKEQN.svg
0,UCOBANK,UCOBANKEQN,EQ,45,46,44.31,45.75,45.11,0.64,1.42,4760112,215395068,70.65,34.75,35.24416135881104,-31.654676258992804,15.35,19-Oct-2023,-6.09,18-Sep-2024,https://nsearchives.nseindia.com/365d/UCOBANK-EQ.svg,https://nsearchives.nseindia.com/30d/UCOBANK-EQ.svg,https://nsearchives.nseindia.com/today/UCOBANKEQN.svg
0,SAMHI,SAMHIEQN,EQ,195.01,200.45,193.5,199.5,196.71,2.79,1.42,558380,110637413.19999999,237.85,137,16.123607315535,-45.62043795620438,34.28,19-Oct-2023,-4.45,18-Sep-2024,https://nsearchives.nseindia.com/365d/SAMHI-EQ.svg,https://nsearchives.nseindia.com/30d/SAMHI-EQ.svg,https://nsearchives.nseindia.com/today/SAMHIEQN.svg
0,NEWGEN,NEWGENEQN,EQ,1240,1269.85,1213.5,1261.9,1244.4,17.5,1.41,242517,302901307.83,1548,514.73,18.48191214470284,-145.15765546985799,7.56,19-Oct-2023,3.95,18-Sep-2024,https://nsearchives.nseindia.com/365d/NEWGEN-EQ.svg,https://nsearchives.nseindia.com/30d/NEWGEN-EQ.svg,https://nsearchives.nseindia.com/today/NEWGENEQN.svg
0,DCAL,DCALEQN,EQ,194.96,199.8,191.65,198,195.26,2.74,1.4,889886,174871497.85999998,283,133,30.035335689045937,-48.87218045112782,28.14,19-Oct-2023,2.48,18-Sep-2024,https://nsearchives.nseindia.com/365d/DCAL-EQ.svg,https://nsearchives.nseindia.com/30d/DCAL-EQ.svg,https://nsearchives.nseindia.com/today/DCALEQN.svg
0,BIRLACORPN,BIRLACORPNEQN,EQ,1205.1,1229.95,1198.05,1222,1205.1,16.9,1.4,50319,61263382.5,1802,1137.85,32.18645948945616,-7.395526651140317,-3.43,19-Oct-2023,-6.86,18-Sep-2024,https://nsearchives.nseindia.com/365d/BIRLACORPN-EQ.svg,https://nsearchives.nseindia.com/30d/BIRLACORPN-EQ.svg,https://nsearchives.nseindia.com/today/BIRLACORPNEQN.svg
0,ERIS,ERISEQN,EQ,1339.7,1370,1311.25,1368,1349.7,18.3,1.36,32440,43325566.4,1522.05,804,10.121218094017934,-70.14925373134328,54.99,19-Oct-2023,-3.7,18-Sep-2024,https://nsearchives.nseindia.com/365d/ERIS-EQ.svg,https://nsearchives.nseindia.com/30d/ERIS-EQ.svg,https://nsearchives.nseindia.com/today/ERISEQN.svg
0,TVSSCS,TVSSCSEQN,EQ,186,189.96,183.73,189.5,186.98,2.52,1.35,527031,98612770.41000001,226.25,145,16.243093922651934,-30.689655172413794,-12.81,19-Oct-2023,-7.4,18-Sep-2024,https://nsearchives.nseindia.com/365d/TVSSCS-EQ.svg,https://nsearchives.nseindia.com/30d/TVSSCS-EQ.svg,https://nsearchives.nseindia.com/today/TVSSCSEQN.svg
0,ICICIPRULI,ICICIPRULIEQN,EQ,732.05,748.6,723.15,745.05,735.15,9.9,1.35,410104,303538475.59999996,796.8,463.45,6.494728915662651,-60.76167871399287,42.73,19-Oct-2023,-0.71,18-Sep-2024,https://nsearchives.nseindia.com/365d/ICICIPRULI-EQ.svg,https://nsearchives.nseindia.com/30d/ICICIPRULI-EQ.svg,https://nsearchives.nseindia.com/today/ICICIPRULIEQN.svg
