,Open,High,Low,Close,Volume
2022-11-23,20.3600,20.4400,20.1300,20.3710,2770
2022-11-25,19.5100,19.7000,19.5100,19.7000,1082
2022-11-28,18.9400,19.0200,18.7700,18.7700,1077
2022-11-29,18.7700,18.7700,18.0484,18.0600,1930
2022-11-30,18.0800,19.5180,18.0200,19.5180,3566
2022-12-01,19.5801,19.7094,19.5800,19.7094,596
2022-12-02,19.6000,19.6000,19.6000,19.6000,126
2022-12-05,20.2800,20.2800,19.2436,19.2436,985
2022-12-06,18.3400,18.4600,18.2899,18.4600,1517
2022-12-07,17.9984,17.9984,17.9984,17.9984,324
2022-12-08,18.3576,18.3576,18.3576,18.3576,30
2022-12-09,18.2179,18.2179,18.2179,18.2179,231
2022-12-12,18.6100,18.7900,18.6100,18.7900,127
2022-12-13,19.9600,19.9600,18.9800,19.0100,1134
2022-12-14,18.4200,18.5400,18.0400,18.4559,1423
2022-12-15,17.7400,17.7400,16.9599,16.9600,2557
2022-12-16,16.9600,16.9600,16.5000,16.5097,2868
2022-12-19,16.3499,16.3499,15.8255,16.0400,5852
2022-12-20,15.5900,16.0300,15.5900,16.0300,2189
2022-12-21,16.0700,16.8462,16.0700,16.6900,3793
2022-12-22,15.9400,15.9800,15.5700,15.9800,5636
2022-12-23,15.6200,15.8700,15.4900,15.8700,1332
2022-12-27,15.2600,15.5200,15.2600,15.5100,2031
2022-12-28,15.2400,15.5500,14.6400,14.6400,12631
2022-12-29,15.2000,15.4000,15.1900,15.3900,3528
2022-12-30,15.0800,15.3800,15.0451,15.3800,900
2023-01-03,14.9400,14.9400,14.2500,14.4400,32653
2023-01-04,14.8400,14.8400,14.4400,14.6413,5574
2023-01-05,14.8100,14.8933,14.3600,14.4127,4095
2023-01-06,14.7900,15.3900,14.7869,15.2950,11780
2023-01-09,15.6200,16.0600,15.3400,15.4300,8973
2023-01-10,15.4900,15.5600,15.0100,15.5600,8246
2023-01-11,15.5900,16.0600,15.5700,16.0600,5033
2023-01-12,15.8000,16.1800,15.7500,16.0743,3619
2023-01-13,16.0700,16.3400,16.0700,16.3400,434
2023-01-17,16.5100,16.5900,16.5100,16.5700,2757
2023-01-18,16.8604,16.9600,16.3900,16.4400,2746
2023-01-19,16.2500,16.4250,16.2500,16.4250,1293
2023-01-20,16.9400,16.9400,16.9400,16.9400,426
2023-01-23,17.2504,18.0700,17.2504,17.6300,1815
2023-01-24,17.7600,18.0500,17.7600,17.9800,2846
2023-01-25,17.5600,17.8300,17.2072,17.8034,3170
2023-01-26,18.0498,18.2800,18.0498,18.2672,1459
2023-01-27,18.3100,18.9300,18.3100,18.6955,3782
2023-01-30,18.4900,18.4900,18.0700,18.0700,2038
2023-01-31,17.9400,18.3000,17.9400,18.3000,2322
2023-02-01,18.0700,18.5518,17.7900,18.5518,20547
2023-02-02,19.4500,19.8300,19.2300,19.7600,24459
2023-02-03,19.0800,21.2300,19.0800,20.5700,22250
2023-02-06,20.2700,20.2700,19.7900,19.9452,7926
2023-02-07,19.7600,20.6400,19.7400,20.5700,13364
2023-02-08,20.3202,20.3202,19.8399,19.9700,7174
2023-02-09,20.2100,20.3300,19.7400,19.7400,7483
2023-02-10,19.6469,19.7900,19.6400,19.7900,1100
2023-02-13,19.7886,20.4899,19.7886,20.4300,3624
2023-02-14,19.8900,20.3000,19.8900,20.2700,2697
2023-02-15,20.5200,20.7300,20.2654,20.7100,5127
2023-02-16,20.3900,20.9100,20.3800,20.3900,8240
2023-02-17,20.0300,20.0900,19.6900,20.0900,8969
2023-02-21,19.5800,19.6900,19.1600,19.1600,5331
2023-02-22,19.1900,19.2300,18.9800,19.1476,6009
2023-02-23,19.3600,19.4200,19.0339,19.3400,1306
2023-02-24,18.6698,18.7200,18.5300,18.7200,1915
2023-02-27,19.0100,19.1900,18.9300,18.9356,2147
2023-02-28,18.8900,19.1300,18.8800,18.9124,5004
2023-03-01,18.6200,18.7500,18.3700,18.3700,1727
2023-03-02,18.1991,18.4963,18.1397,18.4963,1683
2023-03-03,18.9000,19.6600,18.9000,19.6364,7490
2023-03-06,20.3200,20.7100,20.2500,20.2500,17616
2023-03-07,20.2598,20.2598,19.6900,19.7419,5561
2023-03-08,19.9600,20.1000,19.9199,20.0036,5632
2023-03-09,20.3059,20.3700,19.4750,19.5300,2097
2023-03-10,19.3300,19.4503,18.8399,18.9700,4759
2023-03-13,18.9300,19.9472,18.9300,19.4500,7850
2023-03-14,19.8200,20.0373,19.4400,19.8900,7457
2023-03-15,19.4700,19.9790,19.4300,19.9238,2244
2023-03-16,19.9400,20.7800,19.9400,20.6600,12196
2023-03-17,20.6200,20.7117,20.4408,20.4408,1102
2023-03-20,20.5581,20.9799,20.5581,20.9799,1751
2023-03-21,21.1620,21.4200,20.9400,21.4000,4735
2023-03-22,21.4560,21.8800,21.2174,21.2174,3738
2023-03-23,21.3100,21.8505,21.1400,21.3000,21874
2023-03-24,21.4103,21.6300,21.4103,21.6119,2816
2023-03-27,21.5500,21.5500,21.1189,21.1189,957
2023-03-28,21.0000,21.0500,20.6375,21.0500,4034
2023-03-29,21.5200,21.7063,21.4700,21.7063,1642
2023-03-30,21.8790,22.0900,21.8790,22.0892,3585
2023-03-31,22.1493,22.7000,22.1493,22.6827,5602
2023-04-03,22.5800,23.0100,22.5800,23.0100,9447
2023-04-04,23.0100,23.0100,22.8300,22.8900,3005
2023-04-05,22.3400,22.4252,21.9400,22.4252,6652
2023-04-06,22.2127,22.6400,22.2001,22.5622,14787
2023-04-10,21.6800,21.9100,21.5300,21.9004,10348
2023-04-11,21.7100,21.8500,21.6300,21.6800,3333
2023-04-12,21.7998,21.8500,21.4466,21.4466,7432
2023-04-13,21.8200,22.7900,21.8200,22.7800,5062
2023-04-14,22.6007,22.9099,22.4197,22.6319,9131
2023-04-17,22.6600,22.6600,22.4370,22.6251,4378
2023-04-18,22.8936,23.0852,22.7600,22.9547,8297
2023-04-19,22.9799,23.2700,22.9793,23.2200,6284
2023-04-20,22.9890,23.1600,22.7200,22.9210,3790
2023-04-21,22.5300,22.6000,22.4900,22.5200,6472
2023-04-24,22.6150,22.6400,22.3176,22.6400,4719
2023-04-25,22.6000,22.8500,22.2500,22.2500,15471
2023-04-26,22.2197,22.4400,22.1600,22.2500,2670
2023-04-27,22.6650,23.3500,22.6650,23.3500,1496
2023-04-28,23.6300,23.6300,23.3700,23.5940,2416
2023-05-01,23.6200,23.7900,23.4200,23.6300,8195
2023-05-02,23.7700,23.7700,23.1700,23.3800,6081
